Node,0.372
R,5.255
R,5.065
Node,0.210
Node,0.095
R,5.236
R,5.222
Node,0.104
Node,0.095
R,4.914
R,5.623
Node,0.097
Node,0.096
R,5.321
R,5.123
Node,0.126
Node,0.093
R,5.222
R,5.111
Node,0.263
Node,0.118
R,5.796
R,6.293
Node,0.103
Node,0.105
R,5.905
R,5.447
Node,0.112
Node,0.098
R,5.499
R,5.433
Node,0.179
Node,0.094
R,5.121
R,5.321
Node,0.216
Node,0.141
R,5.195
R,5.228
Node,0.230
Node,0.399
R,5.491
R,5.883
Node,0.114
